1 A
2 A
3 B
4 C
5 A
6 C
7 D
8 B
9 C
11	A
12	A
13	D
14	C
15	A
16	D
17	E
18	B
19	B
20	B
21	A
22	D
23	C
24	C
25	C
26	D
27	E
28	B
29	A
30	A
31	A
32	C
33	C
34	B
35	B
36	B
37	B
38	A
39	E
40	C
41	C
42	C
43	D
44	B
45	A
46	A
47	A
48	B
49	B
50	A
11	A
12	A
13	D
14	C
15	A
16	D
17	E
18	B
19	B
20	B
21	A
22	D
23	C
24	C
25	C
26	D
27	E
28	B
29	A
30	A
31	A
32	C
33	C
34	B
35	B
36	B
37	B
38	A
39	E
40	C
41	C
42	C
43	D
44	B
45	A
46	A
47	A
48	B
49	B
50	A
11	A
12	A
13	D
14	C
15	A
16	D
17	E
18	B
19	B
20	B
21	A
22	D
23	C
24	C
25	C
26	D
27	E
28	B
29	A
30	A
31	A
32	C
33	C
34	B
35	B
36	B
37	B
38	A
39	E
40	C
41	C
42	C
43	D
44	B
45	A
46	A
47	A
48	B
49	B
50	A
11	A
12	A
13	D
14	C
15	A
16	D
17	E
18	B
19	B
20	B
21	A
22	D
23	C
24	C
25	C
26	D
27	E
28	B
29	A
30	A
31	A
32	C
33	C
34	B
35	B
36	B
37	B
38	A
39	E
40	C
41	C
42	C
43	D
44	B
45	A
46	A
47	A
48	B
49	B
50	A
11	A
12	A
13	D
14	C
15	A
16	D
17	E
18	B
19	B
20	B
21	A
22	D
23	C
24	C
25	C
26	D
27	E
28	B
29	A
30	A
31	A
32	C
33	C
34	B
35	B
36	B
37	B
38	A
39	E
40	C
41	C
42	C
43	D
44	B
45	A
46	A
47	A
48	B
49	B
50	A
11	A
12	A
13	D
14	C
15	A
16	D
17	E
18	B
19	B
20	B
21	A
22	D
23	C
24	C
25	C
26	D
27	E
28	B
29	A
30	A
31	A
32	C
33	C
34	B
35	B
36	B
37	B
38	A
39	E
40	C
41	C
42	C
43	D
44	B
45	A
46	A
47	A
48	B
49	B
50	A
11	A
12	A
13	D
14	C
15	A
16	D
17	E
18	B
19	B
20	B
21	A
22	D
23	C
24	C
25	C
26	D
27	E
28	B
29	A
30	A
31	A
32	C
33	C
34	B
35	B
36	B
37	B
38	A
39	E
40	C
41	C
42	C
43	D
44	B
45	A
46	A
47	A
48	B
49	B
50	A
11	A
12	A
13	D
14	C
15	A
16	D
17	E
18	B
19	B
20	B
21	A
22	D
23	C
24	C
25	C
26	D
27	E
28	B
29	A
30	A
31	A
32	C
33	C
34	B
35	B
36	B
37	B
38	A
39	E
40	C
41	C
42	C
43	D
44	B
45	A
46	A
47	A
48	B
49	B
50	A
11	A
12	A
13	D
14	C
15	A
16	D
17	E
18	B
19	B
20	B
21	A
22	D
23	C
24	C
25	C
26	D
27	E
28	B
29	A
30	A
31	A
32	C
33	C
34	B
35	B
36	B
37	B
38	A
39	E
40	C
41	C
42	C
43	D
44	B
45	A
46	A
47	A
48	B
49	B
50	A
11	A
12	A
13	D
14	C
15	A
16	D
17	E
18	B
19	B
20	B
21	A
22	D
23	C
24	C
25	C
26	D
27	E
28	B
29	A
30	A
31	A
32	C
33	C
34	B
35	B
36	B
37	B
38	A
39	E
40	C
41	C
42	C
43	D
44	B
45	A
46	A
47	A
48	B
49	B
50	A
11	A
12	A
13	D
14	C
15	A
16	D
17	E
18	B
19	B
20	B
21	A
22	D
23	C
24	C
25	C
26	D
27	E
28	B
29	A
30	A
31	A
32	C
33	C
34	B
35	B
36	B
37	B
38	A
39	E
40	C
41	C
42	C
43	D
44	B
45	A
46	A
47	A
48	B
49	B
50	A
